#Distance           #Hartree Fock			#CIPSI 
0.529177249       -0.703576723827601E+01   -0.719179864619421E+01
0.635012699       -0.912308143964321E+01   -0.930815398925141E+01
0.740848149       -0.100794955662001E+02   -0.102973023337824E+02
0.846683598       -0.104560120688515E+02   -0.107124174270299E+02
0.952519048       -0.105177355048168E+02   -0.108149821123887E+02
1.058354498       -0.104036640137695E+02   -0.107545057791717E+02
1.270025398       -0.992552417376760E+01   -0.104137154317011E+02
1.481696297       -0.933384070090822E+01   -0.999525613236077E+01
1.693367197       -0.874911635062261E+01   -0.965266464117529E+01
1.905038096       -0.822225402277347E+01   -0.945957710519130E+01
