#Distance           #Hartree Fock			#CIPSI 
0.529177249     -0.135897049126143E+02      -0.139036524356580E+02
0.635012699     -0.180151983087063E+02      -0.183708203453211E+02
0.740848149     -0.200461487170836E+02      -0.204444752205285E+02
0.846683598     -0.208600080902099E+02      -0.213028353658243E+02
0.952519048     -0.210164584917330E+02      -0.215054029930351E+02
1.058354498     -0.208066249191942E+02      -0.213435219127905E+02
1.270025398     -0.198656637782459E+02      -0.204657618938521E+02
1.481696297     -0.186851518852190E+02      -0.193944958878595E+02
1.693367197     -0.175139259401590E+02      -0.183340611747128E+02
1.905038096     -0.164569425890197E+02      -0.173831749793980E+02
